_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,HEATING_TYPE,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LOCKER_OR_STORAGE_ROOM,NO_BARRIERFREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,NO_OF_ELEVATORS,NO_OF_STOREYS,NO_OF_UNITS,NO_SMOKING_BUILDING,PARKING_TYPE,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_REGISTERED
3518,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,YES,0,4,2,13,144,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,FIRM CAPITAL PROPERTIES INC,PRIVATE,4152760,NO,NO,NO,1385  MIDLAND AVE ,YES,FREE,21,DOUBLE PANE,1950,2017
3519,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0,2,2,7,131,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,,PRIVATE,4152764,NO,NO,NO,50  TRUDELLE ST ,YES,FREE,21,DOUBLE PANE,1969,2017
3520,NONE,,YES,NO,30 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,6,2,12,138,YES,"Underground Garage , Ground Level Garage",NO,,PRIVATE,4152767,NO,NO,NO,1299  DANFORTH RD ,YES,FREE,21,DOUBLE PANE,1967,2017
3521,NONE,,NO,YES,0 indoor parking spots and 12 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,0,0,0,3,18,YES,,NO,HAVELOCK APARTMENTS,PRIVATE,4153158,NO,NO,NO,1  HAVELOCK ST ,NO,UNAVAILABLE,9,DOUBLE PANE,1905,2017
3522,NONE,,YES,YES,0 indoor parking spots and 20 outdoor parking spots,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,NO,YES,YES,YES,226,0,3,20,226,NO,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4153164,NO,YES,NO,323  RUSHOLME RD ,YES,PAID,9,DOUBLE PANE,1968,2017
3523,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,10,0,4,15,NO,Surface Parking,YES,CANLIGHT MANAGEMENT INC.,PRIVATE,4153182,NO,YES,NO,161  CHRISTIE ST ,NO,UNAVAILABLE,11,DOUBLE PANE,1965,2017
3524,NONE,"Indoor recreation room , Child play area",YES,YES,0 indoor parking spots and 20 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,6,1,1,4,29,NO,Surface Parking,YES,,SOCIAL HOUSING,4153625,NO,YES,NO,54  MARIGOLD AVE ,YES,FREE,14,DOUBLE PANE,1996,2017
3525,NONE,,NO,NO,4 indoor parking spots and 4 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,0,4,21,NO,,YES,,PRIVATE,4153630,NO,YES,NO,245-247  LOGAN AVE ,YES,UNAVAILABLE,14,DOUBLE PANE,1927,2017
3526,NONE,Indoor recreation room,YES,NO,0 indoor parking spots and 5 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,5,19,NO,Surface Parking,YES,MAINSTAY HOUSING,SOCIAL HOUSING,4153631,NO,NO,NO,502  EASTERN AVE ,YES,FREE,14,DOUBLE PANE,1989,2017
3527,CENTRAL AIR,"Indoor recreation room , Outdoor rec facilities",YES,YES,20 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,YES,27,0,2,5,177,NO,"Underground Garage , Garage accessible thru buildg",YES,,SOCIAL HOUSING,4153633,NO,NO,NO,1070  QUEEN ST E,YES,FREE,14,DOUBLE PANE,1993,2017
3528,NONE,,,NO,Not Available,YES,Recycling bins,YES,NO,HOT WATER,,NO,NO,NO,NO,,0,0,4,42,NO,,YES,,PRIVATE,4153639,NO,NO,NO,279  WOODFIELD RD ,YES,,14,SINGLE PANE,1915,
3529,NONE,,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,,YES,NO,NO,NO,NO,,0,0,4,31,NO,,,,PRIVATE,4153652,NO,YES,NO,796  CARLAW AVE ,YES,UNAVAILABLE,14,DOUBLE PANE,1922,2018
3530,NONE,,YES,YES,Not Available,YES,Green Bin / Organics,YES,NO,ELECTRIC,YES,NO,NO,YES,NO,0,0,0,3,11,NO,Surface Parking,YES,,SOCIAL HOUSING,4153657,NO,NO,NO,570  COXWELL AVE ,YES,UNAVAILABLE,14,DOUBLE PANE,1990,2017
3531,NONE,,YES,YES,0 indoor parking spots and 10 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,400,2,4,20,400,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,MORGUARD NAR CANADA L.P,PRIVATE,4154153,NO,YES,NO,49  THORNCLIFFE PARK DR ,YES,PAID,15,SINGLE PANE,1968,2017
3532,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,2,10,2,17,308,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,Q REIT SUB LP,PRIVATE,4154157,NO,YES,NO,75  THORNCLIFFE PARK DR ,NO,FREE,15,DOUBLE PANE,1966,2017
3533,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,YES,YES,YES,YES,0,0,1,6,71,NO,Parking Deck,YES,PARK PROPERTY MANAGEMENT INC. ,PRIVATE,4154160,NO,YES,NO,58  THORNCLIFFE PARK DR ,YES,UNAVAILABLE,15,DOUBLE PANE,1960,2017
3534,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,2,60,1,6,57,YES,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154164,NO,YES,NO,50  THORNCLIFFE PARK DR ,YES,FREE,15,DOUBLE PANE,1960,2017
3535,NONE,,YES,YES,0 indoor parking spots and 5 outdoor parking spots,YES,Recycling bins,YES,NO,FORCED AIR GAS,YES,NO,YES,YES,YES,0,1,1,7,60,YES,"Carport , Surface Parking",YES,CENTURY HOLDINGS LTD.,PRIVATE,4154173,NO,NO,NO,22  THORNCLIFFE PARK DR ,NO,FREE,15,DOUBLE PANE,1959,2017
3536,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,12,0,3,15,YES,"Ground Level Garage , Surface Parking",YES,WILANMAR HOLDINGS LTD.,PRIVATE,4154177,NO,YES,NO,871  MILLWOOD RD ,NO,UNAVAILABLE,15,DOUBLE PANE,1947,2017
3537,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,,0,0,4,19,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154181,NO,NO,NO,1295  BAYVIEW AVE ,NO,UNAVAILABLE,15,DOUBLE PANE,1953,2018
3538,INDIVIDUAL UNITS,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,3,26,YES,"Ground Level Garage , Surface Parking",YES,G.L.G. DEVELOPMENTS LTD.,PRIVATE,4154666,NO,YES,NO,215  WILSON AVE ,NO,FREE,8,DOUBLE PANE,1955,2017
3539,NONE,Indoor recreation room,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1,10,2,5,125,YES,Surface Parking,YES,,TCHC,4154670,NO,NO,NO,193  WILSON AVE ,YES,BOTH,8,DOUBLE PANE,1982,2017
3540,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,2,2,16,152,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,VIRON PROPERTIES INC.,PRIVATE,4154671,NO,NO,NO,2200  AVENUE RD ,YES,FREE,8,DOUBLE PANE,1969,2017
3541,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,1,3,54,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4154679,NO,YES,NO,2135  AVENUE RD ,NO,FREE,8,DOUBLE PANE,1953,2017
3542,NONE,,YES,YES,Not Available,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,36,0,1,7,36,NO,Surface Parking,YES,CANDO APARTMENTS LTD.,PRIVATE,4155046,NO,YES,NO,839  ROSELAWN AVE ,NO,UNAVAILABLE,8,SINGLE PANE,1955,2017
3543,NONE,"Outdoor pool , Indoor pool",YES,NO,0 indoor parking spots and 8 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,2,3,18,315,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,KING'S COLLEGE MANAGEMENT LTD.,PRIVATE,4155052,NO,YES,NO,145  MARLEE AVE ,YES,PAID,8,DOUBLE PANE,1967,2017
3544,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,8,0,3,15,YES,Surface Parking,NO,,PRIVATE,4155059,NO,YES,NO,2495  DUFFERIN ST ,NO,FREE,8,DOUBLE PANE,1960,2017
3545,NONE,"Indoor pool , Indoor exercise room , Sauna",YES,YES,15 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,0,3,28,214,NO,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4155062,NO,YES,NO,370  RIDELLE AVE ,YES,FREE,8,DOUBLE PANE,1965,2017
3546,NONE,,YES,NO,0 indoor parking spots and 12 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,0,1,5,78,NO,Surface Parking,YES,,PRIVATE,4155065,NO,YES,NO,2005  EGLINTON AVE W,YES,FREE,9,DOUBLE PANE,1959,2017
3547,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,0,3,29,NO,Surface Parking,NO,PROPERTY SERVICES INC.,PRIVATE,4155077,NO,NO,NO,524  HARVIE AVE ,NO,UNAVAILABLE,9,DOUBLE PANE,1960,2017
3548,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,3,5,3,13,213,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,DEL MANAGMENT,TCHC,4155577,NO,NO,NO,3847  LAWRENCE AVE E,YES,PAID,24,DOUBLE PANE,1969,2017
3549,NONE,"Outdoor pool , Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,1,4,2,13,198,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,DEL MANAGEMENT,TCHC,4155581,NO,NO,NO,90  MORNELLE CRT ,YES,BOTH,24,SINGLE PANE,1971,2017
3550,NONE,Indoor recreation room,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1,5,1,4,105,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,TCHC,4155598,NO,NO,NO,6  HENRY ST ,YES,UNAVAILABLE,11,DOUBLE PANE,1978,2017
3551,NONE,"Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,1,6,3,16,301,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,TCHC,4155600,NO,NO,NO,155  SHERBOURNE ST ,YES,BOTH,13,DOUBLE PANE,1973,2017
3552,NONE,,YES,YES,0 indoor parking spots and 6 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,2,3,1,6,60,YES,Surface Parking,NO,TCH,TCHC,4155606,NO,NO,NO,1555  QUEEN ST E,YES,PAID,14,DOUBLE PANE,1969,2017
3553,NONE,,NO,NO,0 indoor parking spots and 40 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,4,0,3,34,YES,"Ground Level Garage , Surface Parking",NO,CAPREIT LIMITED PARTNERSHIP,PRIVATE,4156108,NO,NO,YES,2525  LAKE SHORE BLVD W,NO,FREE,3,DOUBLE PANE,1952,2017
3554,NONE,"Outdoor rec facilities , Child play area",YES,NO,0 indoor parking spots and 20 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,2,9,88,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4156521,NO,YES,NO,65  SILVER SPRINGS BLVD ,YES,FREE,22,DOUBLE PANE,1978,2017
3555,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,3,16,253,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4152771,NO,YES,NO,126  BELLAMY RD N,YES,UNAVAILABLE,21,DOUBLE PANE,1971,2017
3556,NONE,,YES,YES,Not Available,YES,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,68,80,2,6,68,NO,"Ground Level Garage , Surface Parking",NO,KINGS COLLEGE MANAGEMENT LTD,PRIVATE,4152787,NO,YES,NO,3101  EGLINTON AVE E,NO,FREE,20,DOUBLE PANE,1965,2017
3557,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,6,81,,,,,PRIVATE,4152789,,,,3121  EGLINTON AVE E,,,20,DOUBLE PANE,,
3558,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,1,2,7,79,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4152795,NO,NO,NO,3091  EGLINTON AVE E,YES,FREE,20,SINGLE PANE,1968,2017
3559,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,1,9,52,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,HOLLYBURN PROPERTIES LTD,PRIVATE,4153224,NO,YES,NO,169  ST GEORGE ST ,YES,PAID,11,DOUBLE PANE,1956,2017
3560,NONE,Indoor recreation room,YES,NO,0 indoor parking spots and 5 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,NO,YES,NO,0,0,1,4,20,NO,,YES,MAINSTAY HOUSING,SOCIAL HOUSING,4153665,NO,NO,NO,2363  QUEEN ST E,YES,UNAVAILABLE,19,DOUBLE PANE,1940,2017
3561,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,0,0,0,3,15,NO,Surface Parking,YES,,PRIVATE,4153691,YES,YES,NO,441  KINGSTON RD ,NO,UNAVAILABLE,19,DOUBLE PANE,1920,2017
3562,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,1,1,0,4,21,YES,Surface Parking,NO,TCH,TCHC,4153696,NO,NO,NO,11  NEWBOLD AVE ,YES,FREE,19,DOUBLE PANE,1984,2017
3563,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,5,36,,,,,PRIVATE,4153697,,,,592  WOODBINE AVE ,,,19,DOUBLE PANE,1966,
3564,NONE,,YES,NO,0 indoor parking spots and 6 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,53,1,4,50,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,JERUDAN DEVELOPMENTS LIMITED,PRIVATE,4154193,NO,YES,NO,970  EGLINTON AVE E,YES,FREE,15,SINGLE PANE,1965,2017
3565,NONE,,NO,NO,0 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,1,0,0,4,16,YES,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154197,NO,NO,NO,31  BRENTCLIFFE RD ,NO,UNAVAILABLE,15,DOUBLE PANE,1958,2017
3566,INDIVIDUAL UNITS,,YES,NO,Not Available,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,4,37,NO,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4154203,NO,NO,NO,892  EGLINTON AVE E,YES,UNAVAILABLE,15,DOUBLE PANE,1961,2017
3567,INDIVIDUAL UNITS,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,3,18,NO,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4154204,NO,YES,NO,888  EGLINTON AVE E,NO,UNAVAILABLE,15,DOUBLE PANE,1954,2017
3568,NONE,,YES,NO,15 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0,0,2,4,112,NO,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4154207,NO,YES,NO,1833  BAYVIEW AVE ,YES,UNAVAILABLE,15,DOUBLE PANE,1965,2017
3569,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,0,4,32,NO,"Ground Level Garage , Surface Parking",YES,SIGNET GROUP INC,PRIVATE,4154208,NO,YES,NO,1760  WILSON AVE ,NO,UNAVAILABLE,7,DOUBLE PANE,1955,2017
3570,NONE,Indoor recreation room,YES,YES,24 indoor parking spots and 0 outdoor parking spots,NO,Unknown,YES,YES,HOT WATER,YES,NO,YES,YES,NO,466,0,3,23,466,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,GREENWIN INC.,PRIVATE,4154223,NO,YES,NO,160  CHALKFARM DR ,YES,FREE,7,SINGLE PANE,1972,2017
3571,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,4,22,NO,"Ground Level Garage , Surface Parking",NO,G&S REALTY INVESTMENTS INC.,PRIVATE,4155085,NO,NO,NO,1650  KEELE ST ,NO,UNAVAILABLE,5,DOUBLE PANE,1958,2017
3572,NONE,,NO,YES,Not Available,NO,Unknown,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,1,3,28,NO,"Ground Level Garage , Surface Parking",YES,MARBROOK DEVELOPMENTS LTD.,PRIVATE,4155108,NO,NO,NO,1960  KEELE ST ,NO,FREE,5,DOUBLE PANE,1957,2017
3573,NONE,,YES,NO,0 indoor parking spots and 9 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,24,0,4,50,NO,Surface Parking,YES,SMALLWOOD CONSULTING LTD.,PRIVATE,4153716,NO,NO,NO,619  WOODBINE AVE ,NO,UNAVAILABLE,19,DOUBLE PANE,1956,2017
3574,NONE,Indoor recreation room,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,NO,YES,YES,YES,1,0,2,5,97,YES,Surface Parking,YES,AYKLER MANAGEMENT,SOCIAL HOUSING,4153717,NO,NO,NO,751  WOODBINE AVE ,YES,UNAVAILABLE,19,SINGLE PANE,1987,2017
3575,NONE,,YES,NO,0 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,60,1,4,55,NO,Surface Parking,YES,SILVERCORE PROPERTIES INC,PRIVATE,4154253,NO,YES,NO,3286  WESTON RD ,YES,FREE,7,DOUBLE PANE,1961,2017
3576,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,2,2,0,3,31,YES,Surface Parking,YES,TCH,TCHC,4155636,NO,NO,NO,5  FLEMINGTON RD ,YES,PAID,8,DOUBLE PANE,1957,2017
3577,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,YES,74,40,1,3,74,NO,"Ground Level Garage , Surface Parking",YES,LEARON LIMITED,PRIVATE,4152804,NO,NO,NO,71  GUILDWOOD PKWY ,NO,FREE,24,DOUBLE PANE,1960,2017
3578,NONE,"Indoor pool , Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Sauna",YES,YES,0 indoor parking spots and 10 outdoor parking spots,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,188,1,3,16,188,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,DOVERHOLD INESTMENT LTD.,PRIVATE,4152805,NO,NO,NO,45  LIVINGSTON RD ,YES,FREE,24,DOUBLE PANE,1966,2017
3579,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,2,2,13,174,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,,PRIVATE,4152807,NO,NO,NO,3969  KINGSTON RD ,YES,FREE,24,DOUBLE PANE,1967,2017
3580,NONE,Child play area,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,YES,YES,YES,NO,7,4,2,8,111,NO,"Underground Garage , Garage accessible thru buildg",YES,,SOCIAL HOUSING,4153726,NO,NO,NO,20  TRENT AVE ,YES,PAID,19,DOUBLE PANE,1992,2017
3581,NONE,,YES,NO,0 indoor parking spots and 12 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,1,4,71,NO,Surface Parking,YES,,PRIVATE,4153747,NO,YES,NO,49  GLEN ELM AVE ,YES,FREE,12,DOUBLE PANE,1954,2017
3582,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,4,40,,,,,PRIVATE,4154272,,,,90  YORK GATE BLVD ,,,7,SINGLE PANE,,
3583,NONE,,YES,YES,Not Available,YES,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,148,16,2,11,148,NO,"Underground Garage , Surface Parking",YES,CANDO APARTMENTS LTD.,PRIVATE,4154275,NO,YES,NO,25  DUNCANWOODS DR ,YES,PAID,7,DOUBLE PANE,1960,2017
3584,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,2,7,113,YES,"Ground Level Garage , Surface Parking",YES,JOLAN PROPERTIES INC.,PRIVATE,4154278,NO,YES,NO,2600  FINCH AVE W,YES,FREE,7,DOUBLE PANE,1971,2017
3585,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,9,0,3,10,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154287,NO,YES,NO,2250  KEELE ST ,NO,FREE,5,DOUBLE PANE,1958,2017
3586,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,71,2,7,60,NO,"Ground Level Garage , Surface Parking",YES,GULLIVER ROAD INVESTMENTS,PRIVATE,4154296,NO,YES,NO,42  GULLIVER RD ,YES,FREE,5,DOUBLE PANE,1960,2017
3587,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,NO,NO,YES,YES,YES,0,0,0,4,47,NO,Ground Level Garage,YES,,PRIVATE,4154301,NO,YES,NO,2368  KEELE ST ,YES,FREE,5,DOUBLE PANE,1957,2017
3588,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,10,0,3,17,YES,Surface Parking,NO,,PRIVATE,4155174,NO,NO,NO,8  CASTLETON AVE ,NO,FREE,5,SINGLE PANE,1965,2017
3589,NONE,,YES,NO,0 indoor parking spots and 1 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,2,99,2,9,130,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,TIVOLI TOWERS ,PRIVATE,4155178,NO,YES,NO,220  WOOLNER AVE ,YES,FREE,5,SINGLE PANE,1960,2017
3590,NONE,,YES,NO,0 indoor parking spots and 1 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,2,99,2,9,130,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,TIVOLI TOWERS ,PRIVATE,4155179,NO,YES,NO,230  WOOLNER AVE ,YES,FREE,5,DOUBLE PANE,1960,2017
3591,CENTRAL AIR,"Indoor recreation room , Outdoor rec facilities",YES,YES,0 indoor parking spots and 11 outdoor parking spots,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,130,4,2,5,130,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,SOCIAL HOUSING,4156136,NO,NO,NO,2319  MCNICOLL AVE ,YES,FREE,23,DOUBLE PANE,1993,2017
3592,NONE,,NO,NO,0 indoor parking spots and 8 outdoor parking spots,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,0,0,4,30,NO,Surface Parking,YES,GREENWIN INC.,PRIVATE,4152559,NO,YES,NO,3000  QUEEN ST E,NO,UNAVAILABLE,20,DOUBLE PANE,1954,2017
3593,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,53,1,5,61,YES,"Ground Level Garage , Surface Parking",NO,PARKETTE PLACE APTS INC.,PRIVATE,4152577,NO,NO,NO,25  PARKETTE PL ,YES,FREE,20,DOUBLE PANE,1959,2017
3594,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,1,0,3,13,YES,Surface Parking,YES,,PRIVATE,4152582,NO,NO,NO,4  FOLCROFT AVE ,YES,UNAVAILABLE,20,DOUBLE PANE,1960,2017
3595,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,2,6,3,16,265,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,QRES IV OPERATING GP INC,PRIVATE,4152834,NO,YES,NO,80  MORNELLE CRT ,YES,FREE,24,SINGLE PANE,1972,2017
3596,NONE,Child play area,YES,YES,Not Available,NO,Unknown,YES,NO,ELECTRIC,YES,YES,NO,YES,YES,2,2,0,3,39,NO,"Underground Garage , Surface Parking",YES,,SOCIAL HOUSING,4152838,NO,NO,NO,4201-4203  KINGSTON RD ,YES,FREE,24,DOUBLE PANE,1985,2017
